Node	Time	ActivationFactorID_UP_Reg
3	1	0
3	2	1
3	3	0
3	4	0
3	5	1
3	6	0
3	7	0
3	8	0
3	9	1
3	10	1
3	11	1
3	12	1
3	13	1
3	14	1
3	15	1
3	16	0
3	17	0
3	18	1
3	19	0
3	20	1
3	21	1
3	22	0
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	0
4	9	0
4	10	0
4	11	0
4	12	1
4	13	0
4	14	0
4	15	0
4	16	0
4	17	1
4	18	1
4	19	1
4	20	1
4	21	0
4	22	0
4	23	0
4	24	1
5	1	0
5	2	1
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	1
5	12	0
5	13	0
5	14	0
5	15	1
5	16	1
5	17	0
5	18	0
5	19	1
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	1
6	5	1
6	6	1
6	7	0
6	8	0
6	9	1
6	10	0
6	11	1
6	12	0
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	1
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	1
7	13	0
7	14	1
7	15	0
7	16	1
7	17	1
7	18	0
7	19	0
7	20	0
7	21	1
7	22	0
7	23	0
7	24	1
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	1
8	10	0
8	11	0
8	12	0
8	13	0
8	14	1
8	15	0
8	16	1
8	17	1
8	18	1
8	19	1
8	20	0
8	21	0
8	22	1
8	23	0
8	24	0
9	1	0
9	2	0
9	3	1
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	1
9	12	1
9	13	0
9	14	1
9	15	0
9	16	0
9	17	0
9	18	1
9	19	1
9	20	0
9	21	0
9	22	1
9	23	0
9	24	0
10	1	0
10	2	1
10	3	1
10	4	1
10	5	1
10	6	0
10	7	1
10	8	1
10	9	1
10	10	0
10	11	0
10	12	0
10	13	0
10	14	0
10	15	1
10	16	1
10	17	1
10	18	0
10	19	0
10	20	0
10	21	0
10	22	1
10	23	0
10	24	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	1
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	0
11	12	0
11	13	0
11	14	0
11	15	0
11	16	1
11	17	0
11	18	0
11	19	1
11	20	0
11	21	0
11	22	0
11	23	0
11	24	0
12	1	1
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	0
12	10	0
12	11	0
12	12	1
12	13	0
12	14	0
12	15	0
12	16	0
12	17	0
12	18	0
12	19	1
12	20	0
12	21	0
12	22	0
12	23	0
12	24	0
13	1	1
13	2	0
13	3	0
13	4	1
13	5	0
13	6	0
13	7	1
13	8	1
13	9	0
13	10	0
13	11	0
13	12	0
13	13	1
13	14	0
13	15	0
13	16	0
13	17	0
13	18	0
13	19	0
13	20	0
13	21	0
13	22	1
13	23	1
13	24	0
14	1	0
14	2	0
14	3	1
14	4	1
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	1
14	11	1
14	12	0
14	13	0
14	14	0
14	15	0
14	16	0
14	17	0
14	18	1
14	19	1
14	20	1
14	21	1
14	22	0
14	23	0
14	24	0
15	1	1
15	2	0
15	3	0
15	4	0
15	5	1
15	6	1
15	7	0
15	8	0
15	9	0
15	10	0
15	11	0
15	12	0
15	13	0
15	14	1
15	15	0
15	16	1
15	17	0
15	18	1
15	19	0
15	20	0
15	21	0
15	22	1
15	23	0
15	24	0
16	1	0
16	2	0
16	3	0
16	4	1
16	5	0
16	6	1
16	7	0
16	8	0
16	9	0
16	10	1
16	11	1
16	12	0
16	13	1
16	14	0
16	15	0
16	16	1
16	17	0
16	18	1
16	19	0
16	20	1
16	21	0
16	22	0
16	23	0
16	24	1
17	1	0
17	2	1
17	3	1
17	4	1
17	5	1
17	6	0
17	7	0
17	8	1
17	9	0
17	10	0
17	11	0
17	12	0
17	13	1
17	14	0
17	15	0
17	16	0
17	17	0
17	18	0
17	19	1
17	20	0
17	21	1
17	22	1
17	23	0
17	24	1
18	1	0
18	2	1
18	3	0
18	4	1
18	5	0
18	6	1
18	7	0
18	8	0
18	9	1
18	10	1
18	11	0
18	12	1
18	13	0
18	14	0
18	15	1
18	16	1
18	17	1
18	18	0
18	19	1
18	20	0
18	21	0
18	22	0
18	23	1
18	24	1
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	1
19	7	1
19	8	0
19	9	0
19	10	0
19	11	0
19	12	1
19	13	0
19	14	0
19	15	0
19	16	0
19	17	0
19	18	0
19	19	0
19	20	0
19	21	0
19	22	1
19	23	0
19	24	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	1
20	7	0
20	8	1
20	9	0
20	10	1
20	11	0
20	12	0
20	13	0
20	14	0
20	15	0
20	16	1
20	17	0
20	18	0
20	19	0
20	20	0
20	21	0
20	22	1
20	23	1
20	24	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	1
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
21	18	0
21	19	0
21	20	0
21	21	0
21	22	0
21	23	0
21	24	1
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	1
22	8	1
22	9	0
22	10	0
22	11	0
22	12	1
22	13	0
22	14	1
22	15	0
22	16	0
22	17	0
22	18	0
22	19	0
22	20	0
22	21	1
22	22	1
22	23	0
22	24	0
23	1	1
23	2	1
23	3	1
23	4	0
23	5	1
23	6	1
23	7	1
23	8	1
23	9	0
23	10	0
23	11	0
23	12	0
23	13	1
23	14	1
23	15	0
23	16	0
23	17	0
23	18	0
23	19	1
23	20	1
23	21	0
23	22	1
23	23	0
23	24	0
24	1	0
24	2	1
24	3	0
24	4	0
24	5	0
24	6	1
24	7	1
24	8	0
24	9	0
24	10	1
24	11	0
24	12	0
24	13	0
24	14	1
24	15	0
24	16	0
24	17	0
24	18	0
24	19	0
24	20	0
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	1
25	4	0
25	5	0
25	6	0
25	7	1
25	8	0
25	9	1
25	10	1
25	11	0
25	12	0
25	13	0
25	14	1
25	15	1
25	16	0
25	17	0
25	18	1
25	19	0
25	20	0
25	21	1
25	22	0
25	23	0
25	24	0
26	1	0
26	2	0
26	3	1
26	4	0
26	5	0
26	6	0
26	7	1
26	8	0
26	9	0
26	10	0
26	11	1
26	12	0
26	13	0
26	14	0
26	15	0
26	16	1
26	17	0
26	18	0
26	19	0
26	20	1
26	21	1
26	22	0
26	23	1
26	24	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	1
27	10	1
27	11	1
27	12	0
27	13	1
27	14	0
27	15	0
27	16	0
27	17	0
27	18	1
27	19	0
27	20	0
27	21	0
27	22	0
27	23	0
27	24	0
28	1	0
28	2	0
28	3	0
28	4	1
28	5	1
28	6	1
28	7	1
28	8	1
28	9	0
28	10	1
28	11	0
28	12	0
28	13	0
28	14	0
28	15	0
28	16	0
28	17	1
28	18	1
28	19	0
28	20	0
28	21	0
28	22	1
28	23	1
28	24	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	1
29	8	0
29	9	0
29	10	0
29	11	0
29	12	0
29	13	0
29	14	0
29	15	0
29	16	0
29	17	0
29	18	0
29	19	0
29	20	0
29	21	1
29	22	0
29	23	0
29	24	0
30	1	0
30	2	1
30	3	0
30	4	0
30	5	0
30	6	1
30	7	1
30	8	1
30	9	0
30	10	1
30	11	1
30	12	0
30	13	0
30	14	0
30	15	1
30	16	0
30	17	0
30	18	0
30	19	0
30	20	1
30	21	0
30	22	1
30	23	1
30	24	0
31	1	1
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	1
31	8	0
31	9	0
31	10	0
31	11	0
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	1
31	18	0
31	19	0
31	20	0
31	21	0
31	22	0
31	23	0
31	24	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	1
32	6	0
32	7	0
32	8	0
32	9	0
32	10	0
32	11	0
32	12	1
32	13	0
32	14	0
32	15	0
32	16	0
32	17	0
32	18	0
32	19	1
32	20	0
32	21	1
32	22	0
32	23	0
32	24	0
33	1	0
33	2	1
33	3	0
33	4	0
33	5	0
33	6	1
33	7	0
33	8	0
33	9	0
33	10	0
33	11	0
33	12	0
33	13	1
33	14	0
33	15	0
33	16	1
33	17	0
33	18	1
33	19	1
33	20	0
33	21	0
33	22	0
33	23	0
33	24	0
34	1	0
34	2	1
34	3	1
34	4	1
34	5	0
34	6	1
34	7	0
34	8	0
34	9	0
34	10	1
34	11	0
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
34	18	0
34	19	0
34	20	0
34	21	0
34	22	0
34	23	0
34	24	0
35	1	0
35	2	0
35	3	1
35	4	0
35	5	1
35	6	0
35	7	0
35	8	0
35	9	1
35	10	0
35	11	0
35	12	1
35	13	0
35	14	0
35	15	1
35	16	1
35	17	1
35	18	0
35	19	1
35	20	1
35	21	0
35	22	0
35	23	0
35	24	1
36	1	0
36	2	0
36	3	0
36	4	1
36	5	0
36	6	0
36	7	0
36	8	1
36	9	0
36	10	1
36	11	1
36	12	0
36	13	0
36	14	0
36	15	0
36	16	0
36	17	1
36	18	0
36	19	1
36	20	1
36	21	0
36	22	0
36	23	1
36	24	0
37	1	0
37	2	1
37	3	0
37	4	0
37	5	0
37	6	1
37	7	1
37	8	1
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	1
37	17	0
37	18	1
37	19	1
37	20	0
37	21	1
37	22	0
37	23	0
37	24	0
38	1	0
38	2	0
38	3	1
38	4	0
38	5	0
38	6	1
38	7	0
38	8	0
38	9	1
38	10	0
38	11	1
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0
38	19	0
38	20	1
38	21	0
38	22	0
38	23	0
38	24	0
39	1	1
39	2	1
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	1
39	9	0
39	10	0
39	11	1
39	12	1
39	13	0
39	14	0
39	15	0
39	16	0
39	17	0
39	18	1
39	19	1
39	20	0
39	21	1
39	22	0
39	23	1
39	24	0
40	1	1
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	1
40	9	1
40	10	1
40	11	0
40	12	0
40	13	1
40	14	0
40	15	0
40	16	1
40	17	0
40	18	0
40	19	0
40	20	0
40	21	0
40	22	0
40	23	1
40	24	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	1
41	18	1
41	19	0
41	20	0
41	21	0
41	22	1
41	23	0
41	24	1
42	1	1
42	2	1
42	3	1
42	4	0
42	5	1
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	1
42	17	0
42	18	0
42	19	0
42	20	1
42	21	0
42	22	0
42	23	0
42	24	1
43	1	0
43	2	0
43	3	1
43	4	1
43	5	0
43	6	1
43	7	0
43	8	1
43	9	1
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
43	18	0
43	19	1
43	20	0
43	21	0
43	22	1
43	23	0
43	24	0
44	1	1
44	2	0
44	3	0
44	4	0
44	5	1
44	6	0
44	7	0
44	8	0
44	9	0
44	10	1
44	11	0
44	12	0
44	13	1
44	14	0
44	15	1
44	16	0
44	17	1
44	18	0
44	19	0
44	20	0
44	21	1
44	22	0
44	23	0
44	24	1
45	1	0
45	2	0
45	3	1
45	4	0
45	5	0
45	6	1
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	14	0
45	15	0
45	16	1
45	17	1
45	18	0
45	19	0
45	20	0
45	21	1
45	22	0
45	23	0
45	24	0
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	1
46	8	1
46	9	0
46	10	0
46	11	0
46	12	1
46	13	1
46	14	1
46	15	0
46	16	1
46	17	0
46	18	0
46	19	1
46	20	0
46	21	0
46	22	1
46	23	0
46	24	0
47	1	0
47	2	1
47	3	0
47	4	0
47	5	0
47	6	1
47	7	0
47	8	1
47	9	0
47	10	0
47	11	0
47	12	0
47	13	0
47	14	0
47	15	1
47	16	0
47	17	0
47	18	1
47	19	0
47	20	1
47	21	0
47	22	0
47	23	1
47	24	0
48	1	0
48	2	0
48	3	1
48	4	0
48	5	0
48	6	0
48	7	0
48	8	0
48	9	0
48	10	0
48	11	0
48	12	0
48	13	1
48	14	0
48	15	0
48	16	0
48	17	1
48	18	1
48	19	0
48	20	0
48	21	0
48	22	0
48	23	0
48	24	1
49	1	1
49	2	1
49	3	1
49	4	1
49	5	1
49	6	0
49	7	0
49	8	0
49	9	0
49	10	1
49	11	0
49	12	1
49	13	1
49	14	1
49	15	0
49	16	0
49	17	0
49	18	0
49	19	1
49	20	0
49	21	1
49	22	0
49	23	0
49	24	0
50	1	0
50	2	0
50	3	0
50	4	1
50	5	0
50	6	0
50	7	1
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	1
50	14	1
50	15	0
50	16	0
50	17	0
50	18	0
50	19	0
50	20	0
50	21	1
50	22	1
50	23	0
50	24	0
51	1	1
51	2	0
51	3	0
51	4	1
51	5	0
51	6	1
51	7	0
51	8	0
51	9	1
51	10	0
51	11	0
51	12	0
51	13	1
51	14	0
51	15	0
51	16	0
51	17	0
51	18	0
51	19	1
51	20	1
51	21	0
51	22	0
51	23	0
51	24	0
52	1	1
52	2	0
52	3	0
52	4	0
52	5	0
52	6	1
52	7	0
52	8	0
52	9	1
52	10	1
52	11	0
52	12	0
52	13	0
52	14	0
52	15	1
52	16	1
52	17	1
52	18	1
52	19	0
52	20	1
52	21	0
52	22	0
52	23	0
52	24	0
53	1	1
53	2	0
53	3	0
53	4	0
53	5	1
53	6	0
53	7	1
53	8	0
53	9	0
53	10	0
53	11	0
53	12	0
53	13	0
53	14	0
53	15	1
53	16	0
53	17	0
53	18	0
53	19	0
53	20	1
53	21	1
53	22	0
53	23	1
53	24	0
54	1	1
54	2	1
54	3	0
54	4	0
54	5	0
54	6	1
54	7	0
54	8	0
54	9	0
54	10	1
54	11	0
54	12	0
54	13	1
54	14	0
54	15	0
54	16	0
54	17	0
54	18	0
54	19	1
54	20	0
54	21	0
54	22	0
54	23	0
54	24	0
55	1	1
55	2	0
55	3	1
55	4	0
55	5	0
55	6	0
55	7	0
55	8	0
55	9	0
55	10	0
55	11	0
55	12	0
55	13	1
55	14	0
55	15	1
55	16	1
55	17	1
55	18	1
55	19	0
55	20	0
55	21	1
55	22	0
55	23	0
55	24	0
56	1	1
56	2	0
56	3	0
56	4	0
56	5	0
56	6	0
56	7	0
56	8	0
56	9	1
56	10	1
56	11	0
56	12	1
56	13	0
56	14	1
56	15	0
56	16	1
56	17	0
56	18	0
56	19	0
56	20	1
56	21	0
56	22	0
56	23	0
56	24	1
57	1	0
57	2	1
57	3	1
57	4	1
57	5	0
57	6	1
57	7	0
57	8	1
57	9	0
57	10	0
57	11	0
57	12	0
57	13	1
57	14	0
57	15	0
57	16	0
57	17	0
57	18	0
57	19	0
57	20	0
57	21	0
57	22	0
57	23	1
57	24	0
58	1	0
58	2	1
58	3	1
58	4	0
58	5	0
58	6	1
58	7	0
58	8	1
58	9	1
58	10	0
58	11	1
58	12	0
58	13	1
58	14	0
58	15	0
58	16	1
58	17	0
58	18	0
58	19	1
58	20	0
58	21	0
58	22	1
58	23	0
58	24	1
59	1	0
59	2	0
59	3	0
59	4	0
59	5	0
59	6	1
59	7	0
59	8	0
59	9	0
59	10	0
59	11	1
59	12	0
59	13	0
59	14	1
59	15	0
59	16	1
59	17	1
59	18	1
59	19	0
59	20	0
59	21	0
59	22	1
59	23	0
59	24	1
60	1	0
60	2	0
60	3	0
60	4	1
60	5	1
60	6	0
60	7	0
60	8	0
60	9	1
60	10	0
60	11	1
60	12	0
60	13	1
60	14	0
60	15	0
60	16	1
60	17	0
60	18	0
60	19	0
60	20	0
60	21	0
60	22	0
60	23	1
60	24	0
61	1	1
61	2	1
61	3	0
61	4	0
61	5	0
61	6	0
61	7	0
61	8	0
61	9	0
61	10	0
61	11	0
61	12	1
61	13	0
61	14	0
61	15	1
61	16	1
61	17	0
61	18	0
61	19	0
61	20	0
61	21	1
61	22	1
61	23	1
61	24	0
62	1	1
62	2	0
62	3	0
62	4	0
62	5	0
62	6	0
62	7	0
62	8	0
62	9	1
62	10	0
62	11	0
62	12	0
62	13	0
62	14	0
62	15	0
62	16	1
62	17	0
62	18	0
62	19	0
62	20	0
62	21	1
62	22	0
62	23	0
62	24	0
63	1	0
63	2	0
63	3	1
63	4	1
63	5	1
63	6	0
63	7	0
63	8	0
63	9	1
63	10	0
63	11	0
63	12	0
63	13	0
63	14	0
63	15	0
63	16	1
63	17	1
63	18	0
63	19	0
63	20	0
63	21	0
63	22	1
63	23	1
63	24	0
64	1	0
64	2	0
64	3	0
64	4	1
64	5	0
64	6	0
64	7	1
64	8	0
64	9	0
64	10	1
64	11	1
64	12	1
64	13	0
64	14	1
64	15	0
64	16	0
64	17	0
64	18	0
64	19	1
64	20	0
64	21	0
64	22	0
64	23	0
64	24	0
65	1	1
65	2	0
65	3	0
65	4	0
65	5	0
65	6	1
65	7	0
65	8	0
65	9	0
65	10	0
65	11	1
65	12	0
65	13	0
65	14	0
65	15	1
65	16	0
65	17	0
65	18	1
65	19	0
65	20	0
65	21	0
65	22	0
65	23	1
65	24	0
66	1	1
66	2	0
66	3	0
66	4	0
66	5	1
66	6	0
66	7	0
66	8	0
66	9	0
66	10	0
66	11	0
66	12	1
66	13	1
66	14	0
66	15	1
66	16	0
66	17	0
66	18	1
66	19	0
66	20	0
66	21	0
66	22	0
66	23	1
66	24	1
67	1	0
67	2	0
67	3	0
67	4	1
67	5	0
67	6	0
67	7	0
67	8	0
67	9	0
67	10	0
67	11	1
67	12	0
67	13	0
67	14	0
67	15	1
67	16	0
67	17	0
67	18	0
67	19	0
67	20	0
67	21	0
67	22	0
67	23	0
67	24	1
68	1	0
68	2	0
68	3	1
68	4	0
68	5	0
68	6	0
68	7	1
68	8	0
68	9	0
68	10	1
68	11	0
68	12	0
68	13	0
68	14	0
68	15	0
68	16	0
68	17	0
68	18	1
68	19	0
68	20	0
68	21	0
