Technology	CostExpansion
Power_Grid	2000000.0
ElectricBoiler	51.85936
HP_LT	424.12346
HP_MT	508.15912
PV	253.70242
P2G	188.90778
G2P	959.4015
GasBoiler	34.67154
GasBoiler_CCS	445.91302
CHP	541.1072
CHP_CCS	952.34866
Biogas_Grid	2000000.0
CH4_Grid	2000000.0
CH4_H2_Mixer	0.0
DieselReserveGenerator	247.99626
H2_Grid	2000000.0
Dummy_Grid	2000000.0
