StorageTech	CostExpansion
BESS_Li_Ion_1	172.20876
BESS_Redox_1	213.8022
CAES_1	434.76272
Flywheel_1	257.53548
Hot_Water_Tank_LT_1	1.59474
H2_Storage_1	12.47834
CH4_Storage_1	0.06478
