Node	Parent
3	1
4	1
5	1
6	1
7	2
8	2
9	2
10	2
11	3
12	3
13	3
14	3
15	4
16	4
17	4
18	4
19	5
20	5
21	5
22	5
23	6
24	6
25	6
26	6
27	7
28	7
29	7
30	7
31	8
32	8
33	8
34	8
35	9
36	9
37	9
38	9
39	10
40	10
41	10
42	10
43	11
44	11
45	11
46	11
47	12
48	12
49	12
50	12
51	13
52	13
53	13
54	13
55	14
56	14
57	14
58	14
59	15
60	15
61	15
62	15
63	16
64	16
65	16
66	16
67	17
68	17
69	17
70	17
71	18
72	18
73	18
74	18
75	19
76	19
77	19
78	19
79	20
80	20
81	20
82	20
83	21
84	21
85	21
86	21
87	22
88	22
89	22
90	22
91	23
92	23
93	23
94	23
95	24
96	24
97	24
98	24
99	25
100	25
101	25
102	25
103	26
104	26
105	26
106	26
107	27
108	27
109	27
110	27
111	28
112	28
113	28
114	28
115	29
116	29
117	29
118	29
119	30
120	30
121	30
122	30
123	31
124	31
125	31
126	31
127	32
128	32
129	32
130	32
131	33
132	33
133	33
134	33
135	34
136	34
137	34
138	34
139	35
140	35
141	35
142	35
143	36
144	36
145	36
146	36
147	37
148	37
149	37
150	37
151	38
152	38
153	38
154	38
155	39
156	39
157	39
158	39
159	40
160	40
161	40
162	40
163	41
164	41
165	41
166	41
167	42
168	42
169	42
170	42
171	43
172	43
173	43
174	43
175	44
176	44
177	44
178	44
179	45
180	45
181	45
182	45
183	46
184	46
185	46
186	46
187	47
188	47
189	47
190	47
191	48
192	48
193	48
194	48
195	49
196	49
197	49
198	49
199	50
200	50
201	50
202	50
203	51
204	51
205	51
206	51
207	52
208	52
209	52
210	52
211	53
212	53
213	53
214	53
215	54
216	54
217	54
218	54
219	55
220	55
221	55
222	55
223	56
224	56
225	56
226	56
227	57
228	57
229	57
230	57
231	58
232	58
233	58
234	58
235	59
236	59
237	59
238	59
239	60
240	60
241	60
242	60
243	61
244	61
245	61
246	61
247	62
248	62
249	62
250	62
251	63
252	63
253	63
254	63
255	64
256	64
257	64
258	64
259	65
260	65
261	65
262	65
263	66
264	66
265	66
266	66
267	67
268	67
269	67
270	67
271	68
272	68
273	68
274	68
275	69
276	69
277	69
278	69
279	70
280	70
281	70
282	70
283	71
284	71
285	71
286	71
287	72
288	72
289	72
290	72
291	73
292	73
293	73
294	73
295	74
296	74
297	74
298	74
299	75
300	75
301	75
302	75
303	76
304	76
305	76
306	76
307	77
308	77
309	77
310	77
311	78
312	78
313	78
314	78
315	79
316	79
317	79
318	79
319	80
320	80
321	80
322	80
323	81
324	81
325	81
326	81
327	82
328	82
329	82
330	82
331	83
332	83
333	83
334	83
335	84
336	84
337	84
338	84
339	85
340	85
341	85
342	85
343	86
344	86
345	86
346	86
347	87
348	87
349	87
350	87
351	88
352	88
353	88
354	88
355	89
356	89
357	89
358	89
359	90
360	90
361	90
362	90
363	91
364	91
365	91
366	91
367	92
368	92
369	92
370	92
371	93
372	93
373	93
374	93
375	94
376	94
377	94
378	94
379	95
380	95
381	95
382	95
383	96
