Node	Time	ActivationDownPrice
17	11	24.0
17	12	20.0
17	13	11.73
17	14	19.0
17	15	13.5
17	16	13.5
17	17	10.0
17	18	10.0
17	19	22.34
17	20	22.97
17	21	22.91
17	22	23.11
17	23	23.36
17	24	23.48
18	1	19.0
18	2	18.5
18	3	10.0
18	4	5.5
18	5	8.5
18	6	13.0
18	7	40.0
18	8	30.0
18	9	30.0
18	10	17.0
18	11	11.0
18	12	0.0
18	13	-2.0
18	14	-1.34
18	15	0.0
18	16	10.0
18	17	23.0
18	18	37.5
18	19	40.0
18	20	61.21
18	21	58.82
18	22	57.53
18	23	41.14
18	24	34.93
19	1	29.59
19	2	29.34
19	3	29.42
19	4	29.34
19	5	20.0
19	6	26.67
19	7	49.49
19	8	54.68
19	9	35.38
19	10	31.87
19	11	31.41
19	12	28.23
19	13	29.16
19	14	20.24
19	15	26.5
19	16	26.5
19	17	31.14
19	18	33.83
19	19	33.83
19	20	30.69
19	21	30.2
19	22	30.31
19	23	2.0
19	24	0.0
20	1	59.0
20	2	59.0
20	3	58.0
20	4	55.0
20	5	54.94
20	6	56.0
20	7	74.95
20	8	113.82
20	9	94.04
20	10	79.32
20	11	74.63
20	12	70.57
20	13	70.38
20	14	66.39
20	15	66.11
20	16	67.51
20	17	59.0
20	18	68.53
20	19	68.01
20	20	68.89
20	21	67.69
20	22	67.1
20	23	66.21
20	24	67.76
21	1	31.5
21	2	31.5
21	3	31.5
21	4	31.5
21	5	34.0
21	6	34.0
21	7	108.55
21	8	35.0
21	9	34.0
21	10	32.0
21	11	25.0
21	12	25.0
21	13	24.9
21	14	12.0
21	15	10.0
21	16	4.0
21	17	17.0
21	18	20.5
21	19	29.0
21	20	30.5
21	21	40.01
21	22	39.57
21	23	38.62
21	24	36.87
22	1	-0.03
22	2	-0.06
22	3	-0.07
22	4	-0.05
22	5	0.09
22	6	1.95
22	7	3.68
22	8	-1.0
22	9	6.6
22	10	-2.0
22	11	-3.0
22	12	-4.0
22	13	-6.0
22	14	-6.0
22	15	-4.0
22	16	3.6
22	17	-1.0
22	18	0.0
22	19	0.5
22	20	-1.0
22	21	-2.0
22	22	-3.0
22	23	-6.0
22	24	-6.0
23	1	35.5
23	2	32.0
23	3	30.0
23	4	27.0
23	5	22.79
23	6	31.0
23	7	44.4
23	8	49.21
23	9	38.0
23	10	37.5
23	11	33.0
23	12	21.0
23	13	21.0
23	14	0.0
23	15	3.71
23	16	5.0
23	17	9.0
23	18	33.0
23	19	33.0
23	20	43.0
23	21	40.0
23	22	34.0
23	23	30.0
23	24	33.23
24	1	25.22
24	2	25.01
24	3	24.64
24	4	24.7
24	5	24.34
24	6	23.96
24	7	24.54
24	8	24.0
24	9	23.46
24	10	20.0
24	11	20.0
24	12	21.96
24	13	17.0
24	14	15.5
24	15	24.0
24	16	25.68
24	17	20.0
24	18	25.21
24	19	25.28
24	20	25.51
24	21	26.93
24	22	27.13
24	23	26.82
24	24	24.54
25	1	-0.06
25	2	-0.15
25	3	-0.22
25	4	-0.2
25	5	-0.08
25	6	0.01
25	7	2.01
25	8	-1.0
25	9	-4.0
25	10	-4.0
25	11	-3.0
25	12	-3.0
25	13	-1.0
25	14	-3.0
25	15	-3.0
25	16	0.22
25	17	3.03
25	18	3.12
25	19	3.04
25	20	0.0
25	21	0.0
25	22	-3.0
25	23	-3.0
25	24	1.01
26	1	75.67
26	2	64.21
26	3	64.42
26	4	64.26
26	5	64.08
26	6	68.21
26	7	103.59
26	8	122.44
26	9	131.14
26	10	129.89
26	11	122.61
26	12	105.53
26	13	95.13
26	14	85.54
26	15	85.63
26	16	69.56
26	17	72.47
26	18	78.77
26	19	109.25
26	20	107.14
26	21	75.06
26	22	74.97
26	23	65.69
26	24	58.24
27	1	58.995
27	2	62.0
27	3	62.0
27	4	58.0
27	5	58.0
27	6	57.0
27	7	68.0
27	8	89.38
27	9	73.0
27	10	69.73
27	11	74.0
27	12	74.0
27	13	78.72
27	14	75.15
27	15	71.07
27	16	66.0
27	17	66.0
27	18	114.77
27	19	108.49
27	20	85.1
27	21	67.0
27	22	67.0
27	23	70.69
27	24	66.69
28	1	41.5
28	2	38.0
28	3	32.5
28	4	31.0
28	5	32.5
28	6	45.18
28	7	57.79
28	8	79.44
28	9	98.15
28	10	91.65
28	11	81.71
28	12	69.39
28	13	66.37
28	14	65.11
28	15	81.6
28	16	77.81
28	17	106.71
28	18	80.0
28	19	80.0
28	20	125.11
28	21	111.9
28	22	100.53
28	23	87.77
28	24	54.77
29	1	58.94
29	2	57.98
29	3	48.0
29	4	48.0
29	5	55.74
29	6	56.46
29	7	57.66
29	8	59.0
29	9	50.0
29	10	50.0
29	11	45.0
29	12	46.0
29	13	45.99
29	14	44.61
29	15	40.96
29	16	42.47
29	17	46.46
29	18	52.46
29	19	55.13
29	20	50.0
29	21	44.0
29	22	40.22
29	23	42.0
29	24	45.0
30	1	6.0
30	2	6.0
30	3	5.34
30	4	9.74
30	5	28.97
30	6	22.0
30	7	29.0
30	8	26.0
30	9	22.0
30	10	12.0
30	11	6.0
30	12	10.0
30	13	10.0
30	14	23.0
30	15	30.5
30	16	39.69
30	17	30.0
30	18	30.0
30	19	24.5
30	20	23.0
30	21	23.0
30	22	20.0
30	23	15.0
30	24	30.0
31	1	95.73
31	2	68.0
31	3	59.01
31	4	59.02
31	5	60.61
31	6	68.0
31	7	70.0
31	8	133.66
31	9	145.69
31	10	145.98
31	11	144.3
31	12	141.13
31	13	135.78
31	14	132.17
31	15	128.21
31	16	117.96
31	17	121.92
31	18	131.42
31	19	80.5
31	20	68.38
31	21	110.67
31	22	98.88
31	23	94.62
31	24	66.52
32	1	1.71
32	2	-0.97
32	3	-0.97
32	4	-0.98
32	5	0.88
32	6	0.99
32	7	1.92
32	8	0.0
32	9	-2.0
32	10	-2.0
32	11	-2.0
32	12	-1.5
32	13	0.0
32	14	0.0
32	15	0.0
32	16	0.0
32	17	6.4
32	18	9.13
32	19	12.11
32	20	7.82
32	21	8.39
32	22	1.98
32	23	1.86
32	24	1.65
33	1	47.0
33	2	45.0
33	3	44.0
33	4	36.221
33	5	36.221
33	6	45.5
33	7	54.19
33	8	57.82
33	9	59.84
33	10	58.1
33	11	56.74
33	12	55.63
33	13	55.12
33	14	44.0
33	15	43.0
33	16	43.0
33	17	43.0
33	18	47.5
33	19	48.5
33	20	46.0
33	21	53.29
33	22	46.5
33	23	45.0
33	24	34.0
34	1	3.32
34	2	3.45
34	3	4.09
34	4	3.0
34	5	3.0
34	6	6.25
34	7	10.0
34	8	19.0
34	9	15.0
34	10	20.0
34	11	18.95
34	12	15.5
34	13	10.56
34	14	9.78
34	15	9.74
34	16	9.54
34	17	9.61
34	18	11.19
34	19	9.71
34	20	7.0
34	21	7.89
34	22	5.59
34	23	4.48
34	24	3.49
35	1	46.53
35	2	45.89
35	3	46.2
35	4	45.57
35	5	45.55
35	6	46.89
35	7	65.24
