Time	MaximumUpShift
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.3
9	0.3
10	0.3
11	0.3
12	0.3
13	0.3
14	0.3
15	0.3
16	0.3
17	0.3
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
