Technology	CostExpansion
Power_Grid	2000000.0
ElectricBoiler	55.9
HP_LT	500.252
HP_MT	599.294
PV	426.782
P2G	445.954
G2P	1439.102
GasBoiler	38.578
GasBoiler_CCS	460.418
CHP	555.054
CHP_CCS	976.894
Biogas_Grid	2000000.0
CH4_Grid	2000000.0
CH4_H2_Mixer	0.0
DieselReserveGenerator	251.072
H2_Grid	2000000.0
Dummy_Grid	2000000.0
