StorageTech	CostExpansion
BESS_Li_Ion_1	540.514
BESS_Redox_1	308.504
CAES_1	448.304
Flywheel_1	257.536
Hot_Water_Tank_LT_1	1.594
H2_Storage_1	30.248
CH4_Storage_1	0.06478
